attraction_id,attraction_name,nearest_station_id,nearest_station_name,distance_to_station_m,access_walk_time_min,pressure_score
P0232,Koga Masao Museum of Music,C01,YoyogiUehara,136.6,2.2767,0.570344
P0233,古賀政男音楽博物館,C01,YoyogiUehara,147.1,2.4517,0.570344
P0234,"The University Art Museum, Tokyo University of the Arts",C14,Nezu,595.5,9.925,0.570265
P0235,Kabukicho Park,M08,Shinjuku,267.4,4.4567,0.569641
P0236,South end of Ginza Illumination,G08,Shimbashi,195.1,3.2517,0.569641
P0237,Tsukiji Local Museum,H10,HigashiGinza,296.2,4.9367,0.569641
P0238,Nezu Shrine,N12,Todaimae,311.0,5.1833,0.569606
P0239,Vivarium,C14,Nezu,502.2,8.37,0.454545
P0240,"Institute for Nature Study, National Museum of Nature and Science",N02,Shirokanedai,438.2,7.3033,0.56912
P0241,Jiyu Gakuen Myonichikan,Y09,Ikebukuro,442.7,7.3783,0.56912
P0242,小川と湿地,N02,Shirokanedai,669.2,11.1533,0.56912
P0243,D47 Museum,G01,Shibuya,62.0,1.0333,0.569112
P0244,NHK Museum of Broadcasting,H05,Kamiyacho,341.9,5.6983,0.568254
P0245,JAPAN OLYMPIC MUSEUM,G03,Gaiemmae,562.8,9.38,0.567495
P0246,Oi Ocha Museum,G08,Shimbashi,299.7,4.995,0.567389
P0247,Printing Museum,Y12,Edogawabashi,659.9,10.9983,0.567188
P0248,Shinjuku Information Center,M09,ShinjukuSanchome,276.2,4.6033,0.566242
P0249,Museum of Contemporary Art Tokyo,Z11,KiyosumiShirakawa,786.7,13.1117,0.566098
P0250,Toyo Bunko Museum,N14,Komagome,543.9,9.065,0.565982
P0251,Former Asakura Estate,H01,NakaMeguro,414.9,6.915,0.565694
P0252,Kyu Asakura House,H01,NakaMeguro,425.5,7.0917,0.565694
P0253,Museum of Meteorological Science,H06,ToranomonHills,242.9,4.0483,0.565599
P0254,Asakura Museum of Sculpture,C15,Sendagi,485.5,8.0917,0.565323
P0255,TenQ,M22,Korakuen,432.5,7.2083,0.56518
P0256,Ameya-Yokochō,G16,Ueno,220.3,3.6717,0.564621
P0257,Cherry Blossom Viewing,Y12,Edogawabashi,462.6,7.71,0.564472
P0258,Shinjuku Historical Museum,N08,Yotsuya,570.0,9.5,0.56407
P0259,TOKYO TORCH Terrace,Z09,Mitsukoshimae,257.8,4.2967,0.563325
P0260,Masae Kato's Retro Collection Outdoor Museum,F08,Kanamecho,1191.3,19.855,0.472727
P0261,Natsuge Museum,T03,Takadanobaba,138.8,2.3133,0.563241
P0262,Otonashi Water Park,N16,Oji,241.0,4.0167,0.562849
